市区町村コード,市区町村名,人口数_人
01100,札幌市,1955678
01202,函館市,236515
01203,小樽市,104432
01204,旭川市,316183
01205,室蘭市,74855
01206,釧路市,154271
01207,帯広市,160810
01208,北見市,110046
01209,夕張市,6107
01210,岩見沢市,74204
01211,網走市,32199
01212,留萌市,18169
01213,苫小牧市,165590
01214,稚内市,30336
01215,美唄市,18427
01216,芦別市,11243
01217,江別市,118055
01218,赤平市,8464
01219,紋別市,19760
01220,士別市,16440
01221,名寄市,24742
01222,三笠市,7268
01223,根室市,22468
01224,千歳市,97355
01225,滝川市,36515
01226,砂川市,15231
01227,歌志内市,2584
01228,深川市,18329
01229,富良野市,19624
01230,登別市,43615
01231,恵庭市,70446
01233,伊達市,31208
01234,北広島市,56495
01235,石狩市,57143
01236,北斗市,42810
01303,当別町,15113
01304,新篠津村,2730
01331,松前町,5818
01332,福島町,3378
01333,知内町,3783
01334,木古内町,3528
01337,七飯町,27139
01343,鹿部町,3508
01345,森町,13582
01346,八雲町,14514
01347,長万部町,4696
01361,江差町,6607
01362,上ノ国町,4133
01363,厚沢部町,3269
01364,乙部町,3107
01367,奥尻町,2138
01370,今金町,4444
01371,せたな町,6730
01391,島牧村,1246
01392,寿都町,2629
01393,黒松内町,2446
01394,蘭越町,4501
01395,ニセコ町,5551
01396,真狩村,1938
01397,留寿都村,2018
01398,喜茂別町,1928
01399,京極町,2776
01400,倶知安町,17120
01401,共和町,5364
01402,岩内町,10913
01403,泊村,1420
01404,神恵内村,740
01405,積丹町,1702
01406,古平町,2589
01407,仁木町,3051
01408,余市町,16954
01409,赤井川村,1492
01423,南幌町,7933
01424,奈井江町,4704
01425,上砂川町,2360
01427,由仁町,4527
01428,長沼町,9937
01429,栗山町,10653
01430,月形町,2732
01431,浦臼町,1577
01432,新十津川町,6229
01433,妹背牛町,2565
01434,秩父別町,2182
01436,雨竜町,2044
01437,北竜町,1593
01438,沼田町,2798
01452,鷹栖町,6463
01453,東神楽町,9775
01454,当麻町,6054
01455,比布町,3425
01456,愛別町,2418
01457,上川町,3085
01458,東川町,8673
01459,美瑛町,9283
01460,上富良野町,9706
01461,中富良野町,4486
01462,南富良野町,2236
01463,占冠村,1590
01464,和寒町,2807
01465,剣淵町,2728
01468,下川町,2836
01469,美深町,3681
01470,音威子府村,601
01471,中川町,1269
01472,幌加内町,1222
01481,増毛町,3620
01482,小平町,2664
01483,苫前町,2666
01484,羽幌町,5945
01485,初山別村,1005
01486,遠別町,2258
01487,天塩町,2642
01511,猿払村,2589
01512,浜頓別町,3221
01513,中頓別町,1472
01514,枝幸町,7199
01516,豊富町,3515
01517,礼文町,2183
01518,利尻町,1830
01519,利尻富士町,2151
01520,幌延町,2042
01543,美幌町,17329
01544,津別町,3970
01545,斜里町,10513
01546,清里町,3622
01547,小清水町,4342
01549,訓子府町,4448
01550,置戸町,2543
01552,佐呂間町,4646
01555,遠軽町,17646
01559,湧別町,7901
01560,滝上町,2208
01561,興部町,3495
01562,西興部村,956
01563,雄武町,4033
01564,大空町,6441
01571,豊浦町,3491
01575,壮瞥町,2313
01578,白老町,15095
01581,厚真町,4227
01584,洞爺湖町,7906
01585,安平町,7214
01586,むかわ町,7221
01601,日高町,10904
01602,平取町,4435
01604,新冠町,5011
01607,浦河町,11231
01608,様似町,3777
01609,えりも町,4060
01610,新ひだか町,20229
01631,音更町,42683
01632,士幌町,5690
01633,上士幌町,4758
01634,鹿追町,4928
01635,新得町,5503
01636,清水町,8755
01637,芽室町,17773
01638,中札内村,3823
01639,更別村,3084
01641,大樹町,5266
01642,広尾町,5880
01643,幕別町,25269
01644,池田町,5906
01645,豊頃町,2878
01646,本別町,6046
01647,足寄町,5952
01648,陸別町,2120
01649,浦幌町,4108
01661,釧路町,18380
01662,厚岸町,8195
01663,浜中町,5246
01664,標茶町,6836
01665,弟子屈町,6432
01667,鶴居村,2432
01668,白糠町,7003
01691,別海町,13964
01692,中標津町,22257
01693,標津町,4798
01694,羅臼町,4267
02201,青森市,263512
02202,弘前市,159488
02203,八戸市,215080
02204,黒石市,30428
02205,五所川原市,49811
02206,十和田市,57361
02207,三沢市,37380
02208,むつ市,51606
02209,つがる市,28806
02210,平川市,29353
02301,平内町,9730
02303,今別町,2096
02304,蓬田村,2434
02307,外ヶ浜町,4996
02321,鰺ヶ沢町,8505
02323,深浦町,6803
02343,西目屋村,1210
02361,藤崎町,14300
02362,大鰐町,8231
02367,田舎館村,7239
02381,板柳町,12198
02384,鶴田町,11540
02387,中泊町,9417
02401,野辺地町,11855
02402,七戸町,14014
02405,六戸町,10551
02406,横浜町,4048
02408,東北町,16005
02411,六ヶ所村,9628
02412,おいらせ町,25182
02423,大間町,4649
02424,東通村,5553
02425,風間浦村,1554
02426,佐井村,1628
02441,三戸町,8767
02442,五戸町,15285
02443,田子町,4718
02445,南部町,16185
02446,階上町,12562
02450,新郷村,2059
03201,盛岡市,277423
03202,宮古市,45632
03203,大船渡市,32059
03205,花巻市,89867
03206,北上市,91090
03207,久慈市,31216
03208,遠野市,23930
03209,一関市,105505
03210,陸前高田市,17226
03211,釜石市,28934
03213,二戸市,24157
03214,八幡平市,23179
03215,奥州市,107798
03216,滝沢市,54413
03301,雫石町,14995
03302,葛巻町,5293
03303,岩手町,11542
03321,紫波町,32684
03322,矢巾町,26160
03366,西和賀町,4659
03381,金ケ崎町,15119
03402,平泉町,6734
03441,住田町,4681
03461,大槌町,10492
03482,山田町,13854
03483,岩泉町,7843
03484,田野畑村,2888
03485,普代村,2293
03501,軽米町,7907
03503,野田村,3901
03506,九戸村,5084
03507,洋野町,14739
03524,一戸町,10603
04100,仙台市,1064142
04202,石巻市,132447
04203,塩竈市,51726
04205,気仙沼市,56300
04206,白石市,30569
04207,名取市,79792
04208,角田市,26469
04209,多賀城市,61628
04211,岩沼市,43137
04212,登米市,71919
04213,栗原市,60518
04214,東松島市,37875
04215,大崎市,122035
04216,富谷市,52452
04301,蔵王町,10916
04302,七ヶ宿町,1213
04321,大河原町,23297
04322,村田町,9816
04323,柴田町,36331
04324,川崎町,7938
04341,丸森町,11571
04361,亘理町,32825
04362,山元町,11427
04401,松島町,12885
04404,七ヶ浜町,17553
04406,利府町,35863
04421,大和町,27861
04422,大郷町,7480
04424,大衡村,5539
04444,色麻町,6103
04445,加美町,20970
04501,涌谷町,14249
04505,美里町,22826
04581,女川町,5810
04606,南三陸町,11498
05201,秋田市,293729
05202,能代市,47247
05203,横手市,80777
05204,大館市,65492
05206,男鹿市,23355
05207,湯沢市,39484
05209,鹿角市,27069
05210,由利本荘市,70409
05211,潟上市,31271
05212,大仙市,73794
05213,北秋田市,27834
05214,にかほ市,22075
05215,仙北市,22859
05303,小坂町,4421
05327,上小阿仁村,1869
05346,藤里町,2746
05348,三種町,14170
05349,八峰町,6086
05361,五城目町,7814
05363,八郎潟町,5176
05366,井川町,4157
05368,大潟村,2945
05434,美郷町,17444
05463,羽後町,13036
05464,東成瀬村,2334
06201,山形市,236164
06202,米沢市,74629
06203,鶴岡市,116731
06204,酒田市,93924
06205,新庄市,32362
06206,寒河江市,39417
06207,上山市,27584
06208,村山市,21299
06209,長井市,24420
06210,天童市,60204
06211,東根市,47631
06212,尾花沢市,13529
06213,南陽市,29070
06301,山辺町,13344
06302,中山町,10455
06321,河北町,16809
06322,西川町,4536
06323,朝日町,5782
06324,大江町,7062
06341,大石田町,5979
06361,金山町,4691
06362,最上町,7358
06363,舟形町,4662
06364,真室川町,6481
06365,大蔵村,2760
06366,鮭川村,3659
06367,戸沢村,3850
06381,高畠町,21306
06382,川西町,13385
06401,小国町,6537
06402,白鷹町,12222
06403,飯豊町,6203
06426,三川町,7009
06428,庄内町,19144
06461,遊佐町,12157
07201,福島市,264652
07202,会津若松市,110841
07203,郡山市,312433
07204,いわき市,303171
07205,白河市,57085
07207,須賀川市,72918
07208,喜多方市,43519
07209,相馬市,32261
07210,二本松市,50358
07211,田村市,32982
07212,南相馬市,55774
07213,伊達市,55997
07214,本宮市,29712
07301,桑折町,10951
07303,国見町,8095
07308,川俣町,11412
07322,大玉村,8817
07342,鏡石町,12356
07344,天栄村,5171
07362,下郷町,4792
07364,檜枝岐村,484
07367,只見町,3690
07368,南会津町,13349
07402,北塩原村,2394
07405,西会津町,5408
07407,磐梯町,3151
07408,猪苗代町,12552
07421,会津坂下町,14217
07422,湯川村,2980
07423,柳津町,2841
07444,三島町,1327
07445,金山町,1749
07446,昭和村,1085
07447,会津美里町,18117
07461,西郷村,20616
07464,泉崎村,6092
07465,中島村,4732
07466,矢吹町,16807
07481,棚倉町,12789
07482,矢祭町,5145
07483,塙町,7821
07484,鮫川村,2846
07501,石川町,13654
07502,玉川村,6050
07503,平田村,5352
07504,浅川町,5782
07505,古殿町,4517
07521,三春町,16080
07522,小野町,8864
07541,広野町,4531
07542,楢葉町,6409
07543,富岡町,11316
07544,川内村,2233
07545,大熊町,9944
07546,双葉町,5294
07547,浪江町,14632
07548,葛尾村,1216
07561,新地町,7445
07564,飯舘村,4506
08201,水戸市,267467
08202,日立市,163855
08203,土浦市,141571
08204,古河市,139812
08205,石岡市,69937
08207,結城市,49528
08208,龍ケ崎市,74917
08210,下妻市,42071
08211,常総市,60596
08212,常陸太田市,46390
08214,高萩市,25769
08215,北茨城市,40014
08216,笠間市,72567
08217,取手市,105872
08219,牛久市,83820
08220,つくば市,259000
08221,ひたちなか市,154647
08222,鹿嶋市,65217
08223,潮来市,26088
08224,守谷市,70900
08225,常陸大宮市,37861
08226,那珂市,53167
08227,筑西市,99804
08228,坂東市,52143
08229,稲敷市,37012
08230,かすみがうら市,39893
08231,桜川市,37635
08232,神栖市,93786
08233,行方市,31505
08234,鉾田市,46537
08235,つくばみらい市,53503
08236,小美玉市,48482
08302,茨城町,30523
08309,大洗町,15461
08310,城里町,17708
08341,東海村,38151
08364,大子町,14516
08442,美浦村,14156
08443,阿見町,49643
08447,河内町,7791
08521,八千代町,21082
08542,五霞町,7933
08546,境町,24769
08564,利根町,15498
09201,宇都宮市,514595
09202,足利市,140055
09203,栃木市,153088
09204,佐野市,112988
09205,鹿沼市,92895
09206,日光市,75281
09208,小山市,166874
09209,真岡市,78284
09210,大田原市,68053
09211,矢板市,30117
09213,那須塩原市,115611
09214,さくら市,43760
09215,那須烏山市,23482
09216,下野市,59728
09301,上三川町,30748
09342,益子町,21360
09343,茂木町,11408
09344,市貝町,11073
09345,芳賀町,15377
09361,壬生町,38140
09364,野木町,24869
09384,塩谷町,9796
09386,高根沢町,28770
09407,那須町,23697
09411,那珂川町,14124
10201,前橋市,329120
10202,高崎市,365972
10203,桐生市,101185
10204,伊勢崎市,212084
10205,太田市,223075
10206,沼田市,43532
10207,館林市,73667
10208,渋川市,72090
10209,藤岡市,61551
10210,富岡市,45172
10211,安中市,53790
10212,みどり市,48470
10344,榛東村,14634
10345,吉岡町,22643
10366,上野村,1011
10367,神流町,1511
10382,下仁田町,6133
10383,南牧村,1427
10384,甘楽町,12368
10421,中之条町,14326
10424,長野原町,5082
10425,嬬恋村,9073
10426,草津町,6055
10428,高山村,3260
10429,東吾妻町,12061
10443,片品村,3928
10444,川場村,2973
10448,昭和村,6938
10449,みなかみ町,16954
10464,玉村町,35620
10521,板倉町,13461
10522,明和町,10751
10523,千代田町,10848
10524,大泉町,41653
10525,邑楽町,25558
11100,さいたま市,1350500
11201,川越市,352805
11202,熊谷市,190927
11203,川口市,607447
11206,行田市,77854
11207,秩父市,57212
11208,所沢市,342520
11209,飯能市,77963
11210,加須市,112018
11211,本庄市,76783
11212,東松山市,91256
11214,春日部市,229656
11215,狭山市,148221
11216,羽生市,53696
11217,鴻巣市,117564
11218,深谷市,140809
11219,上尾市,230066
11221,草加市,251992
11222,越谷市,342327
11223,蕨市,76342
11224,戸田市,142070
11225,入間市,143412
11227,朝霞市,145938
11228,志木市,76153
11229,和光市,84890
11230,新座市,166412
11231,桶川市,74172
11232,久喜市,150976
11233,北本市,65274
11234,八潮市,93655
11235,富士見市,113404
11237,三郷市,142152
11238,蓮田市,61111
11239,坂戸市,99632
11240,幸手市,48801
11241,鶴ヶ島市,69836
11242,日高市,54192
11243,吉川市,72396
11245,ふじみ野市,114559
11246,白岡市,52404
11301,伊奈町,45042
11324,三芳町,37377
11326,毛呂山町,32043
11327,越生町,10757
11341,滑川町,19757
11342,嵐山町,17328
11343,小川町,27448
11346,川島町,18671
11347,吉見町,17620
11348,鳩山町,12782
11349,ときがわ町,10220
11361,横瀬町,7601
11362,皆野町,8878
11363,長瀞町,6367
11365,小鹿野町,10061
11369,東秩父村,2406
11381,美里町,10685
11383,神川町,12759
11385,上里町,30530
11408,寄居町,31675
11442,宮代町,33471
11464,杉戸町,43562
11465,松伏町,27857
12100,千葉市,983896
12202,銚子市,53986
12203,市川市,494720
12204,船橋市,649393
12205,館山市,43554
12206,木更津市,136843
12207,松戸市,500395
12208,野田市,153538
12210,茂原市,85861
12211,成田市,133099
12212,佐倉市,169506
12213,東金市,56524
12215,旭市,61986
12216,習志野市,175105
12217,柏市,437634
12218,勝浦市,15213
12219,市原市,266861
12220,流山市,212562
12221,八千代市,206692
12222,我孫子市,131317
12223,鴨川市,30209
12224,鎌ケ谷市,109757
12225,君津市,79520
12226,富津市,40427
12227,浦安市,171322
12228,四街道市,96424
12229,袖ケ浦市,66091
12230,八街市,66631
12231,印西市,111731
12232,白井市,62218
12233,富里市,49999
12234,南房総市,34066
12235,匝瑳市,33294
12236,香取市,69575
12237,山武市,47745
12238,いすみ市,34705
12239,大網白里市,47660
12322,酒々井町,20095
12329,栄町,19624
12342,神崎町,5634
12347,多古町,13426
12349,東庄町,12607
12403,九十九里町,14004
12409,芝山町,6644
12410,横芝光町,22095
12421,一宮町,12294
12422,睦沢町,6549
12423,長生村,13269
12424,白子町,10376
12426,長柄町,6233
12427,長南町,7074
12441,大多喜町,8005
12443,御宿町,6912
12463,鋸南町,6679
13101,千代田区,68835
13102,中央区,187404
13103,港区,267780
13104,新宿区,352717
13105,文京区,235345
13106,台東区,216084
13107,墨田区,287302
13108,江東区,541685
13109,品川区,412786
13110,目黒区,281400
13111,大田区,740519
13112,世田谷区,923210
13113,渋谷区,231402
13114,中野区,341322
13115,杉並区,577147
13116,豊島区,294644
13117,北区,362089
13118,荒川区,222278
13119,板橋区,578914
13120,練馬区,745927
13121,足立区,698276
13122,葛飾区,469916
13123,江戸川区,693570
13201,八王子市,559083
13202,立川市,186257
13203,武蔵野市,148034
13204,三鷹市,190497
13205,青梅市,129105
13206,府中市,260998
13207,昭島市,115632
13208,調布市,239348
13209,町田市,430170
13210,小金井市,125174
13211,小平市,196799
13212,日野市,188477
13213,東村山市,151795
13214,国分寺市,129500
13215,国立市,76079
13218,福生市,56582
13219,狛江市,82048
13220,東大和市,84996
13221,清瀬市,75011
13222,東久留米市,116325
13223,武蔵村山市,70696
13224,多摩市,148084
13225,稲城市,93916
13227,羽村市,54126
13228,あきる野市,79244
13229,西東京市,206245
13303,瑞穂町,32013
13305,日の出町,16061
13307,檜原村,1923
13308,奥多摩町,4492
13361,大島町,6813
13362,利島村,300
13363,新島村,2415
13364,神津島村,1737
13381,三宅村,2211
13382,御蔵島村,302
13401,八丈町,6838
13402,青ヶ島村,160
13421,小笠原村,2496
14100,横浜市,3753398
14130,川崎市,1535141
14150,相模原市,716494
14201,横須賀市,379041
14203,平塚市,256549
14204,鎌倉市,174535
14205,藤沢市,445041
14206,小田原市,186464
14207,茅ヶ崎市,247345
14208,逗子市,57827
14210,三浦市,39842
14211,秦野市,158573
14212,厚木市,223424
14213,大和市,245750
14214,伊勢原市,99816
14215,海老名市,140763
14216,座間市,131219
14217,南足柄市,40164
14218,綾瀬市,83952
14301,葉山町,31813
14321,寒川町,48997
14341,大磯町,31757
14342,二宮町,27415
14361,中井町,8901
14362,大井町,17426
14363,松田町,10419
14364,山北町,9263
14366,開成町,18566
14382,箱根町,10835
14383,真鶴町,6553
14384,湯河原町,23183
14401,愛川町,39377
14402,清川村,2716
15100,新潟市,761503
15202,長岡市,255261
15204,三条市,91178
15205,柏崎市,76217
15206,新発田市,91677
15208,小千谷市,32602
15209,加茂市,24079
15210,十日町市,47124
15211,見附市,38061
15212,村上市,53492
15213,燕市,75935
15216,糸魚川市,38041
15217,妙高市,29514
15218,五泉市,45690
15222,上越市,180440
15223,阿賀野市,39165
15224,佐渡市,48103
15225,魚沼市,32522
15226,南魚沼市,52376
15227,胎内市,26791
15307,聖籠町,13986
15342,弥彦村,7534
15361,田上町,10581
15385,阿賀町,9047
15405,出雲崎町,3886
15461,湯沢町,8268
15482,津南町,8456
15504,刈羽村,4222
15581,関川村,4691
15586,粟島浦村,312
16201,富山市,403757
16202,高岡市,162672
16204,魚津市,38617
16205,氷見市,42167
16206,滑川市,32489
16207,黒部市,39155
16208,砺波市,46674
16209,小矢部市,27857
16210,南砺市,46071
16211,射水市,90184
16321,舟橋村,3313
16322,上市町,18657
16323,立山町,24294
16342,入善町,22256
16343,朝日町,10373
17201,金沢市,443123
17202,七尾市,46500
17203,小松市,105475
17204,輪島市,20928
17205,珠洲市,11374
17206,加賀市,61703
17207,羽咋市,19585
17209,かほく市,36200
17210,白山市,112524
17211,能美市,49704
17212,野々市市,54583
17324,川北町,6041
17361,津幡町,37521
17365,内灘町,25662
17384,志賀町,17609
17386,宝達志水町,11822
17407,中能登町,16529
17461,穴水町,6907
17463,能登町,14331
18201,福井市,254029
18202,敦賀市,62382
18204,小浜市,27644
18205,大野市,29821
18206,勝山市,21056
18207,鯖江市,68302
18208,あわら市,26306
18209,越前市,80418
